Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
1,"Merrick McHenry, UCLA (MPSF)",Sr.,6-7,OH,99,224,30,361,0.537
2,"Toby Ezeonu, Penn St. (EIVA)",Jr.,6-7,MB,98,204,31,348,0.497
3,"Matthew Gentry, Lincoln Memorial (DI Independent)",So.,6-7,MH,84,178,38,288,0.486
4,"Henry Moffitt, Daemen (NEC)",Sr.,6-6,MH,86,165,26,310,0.448
5,"Michael de la Cruz, North Greenville (Conference Carolinas)",So.,6-3,MB,101,289,64,520,0.433
6,"Pedro Gonzalez, Mount Olive (Conference Carolinas)",Sr.,6-7,MB,99,214,46,391,0.430
7,"Kellan Kennedy, King (TN) (Conference Carolinas)",Jr.,6-6,MB,117,275,75,469,0.426
8,"Ace Backer, Lees-McRae (Conference Carolinas)",Sr.,6-6,MB,79,166,34,310,0.426
9,"Akin Akinwumi, Pepperdine (MPSF)",Sr.,6-5,OH,112,206,50,375,0.416
10,"Emanuel Adames, North Greenville (Conference Carolinas)",Jr.,6-6,MB,101,234,48,454,0.410
11,"Dimitrios Mouchlias, Hawaii (Big West)",Jr.,6-6,OPP,90,356,87,678,0.397
12,"Ife Loverton, Sacred Heart (NEC)",Sr.,6-5,OH,93,186,46,359,0.390
13,"Cal Fisher, Penn St. (EIVA)",Sr.,6-3,OPP,76,261,63,536,0.369
14,"D'Aaron McCraney, Central St. (OH) (SIAC)",So.,6-8,MB,110,242,62,488,0.369
15,"Ido David, UCLA (MPSF)",So.,6-7,OH,91,322,98,614,0.365
16,"Matthew Pilch, Queens (NC) (DI Independent)",So.,6-3,OH,83,294,67,623,0.364
17,"Jaylen Jasper, Pepperdine (MPSF)",Sr.,6-7,OH,109,544,183,991,0.364
18,"Luuk Hoge Bavel, Charleston (WV) (EIVA)",So.,6-6,OH,75,210,53,434,0.362
19,"Zach Schneider, Daemen (NEC)",Sr.,6-6,OH,83,318,89,635,0.361
20,"Spencer Olivier, Long Beach St. (Big West)",Sr.,6-6,OH,84,231,60,478,0.358
21,"Kaleb Jenness, Ball St. (MIVA)",Sr.,6-6,OH,98,359,95,766,0.345
22,"Jackson Hickman, Grand Canyon (MPSF)",Jr.,6-4,OH,104,319,97,649,0.342
23,"Ethan Champlin, UCLA (MPSF)",Jr.,6-3,OH,99,269,81,550,0.342
24,"Alex Knight, UCLA (MPSF)",Sr.,6-5,OH,85,206,53,452,0.338
24,"Parker Van Buren, Loyola Chicago (MIVA)",So.,6-9,OH,102,421,115,904,0.338
26,"Shay Spadaro, Lincoln Memorial (DI Independent)",Fr.,6-4,OH,78,224,69,464,0.334
27,"Shane Wetzel, Ohio St. (MIVA)",Fr.,6-7,OPP,92,265,94,515,0.332
28,"Bryce Walker, Purdue Fort Wayne (MIVA)",Jr.,6-8,MB,105,229,72,473,0.332
29,"Shaphar Grant, Tusculum (DI Independent)",Sr.,6-3,MB,89,164,56,328,0.329
30,"Tinaishe Ndavazocheva, Ball St. (MIVA)",So.,6-6,OH,95,342,117,685,0.328
31,"Spyros Chakas, Hawaii (Big West)",Jr.,6-4,OH,90,315,94,677,0.326
32,"Cole Gillis, UC Irvine (Big West)",Jr.,6-5,OH,96,243,74,519,0.326
33,"Benjamin Wiechert, Barton (Conference Carolinas)",So.,6-6,MB,84,160,56,320,0.325
34,"Albert Warzocha, Limestone (DI Independent)",So.,6-3,OH,74,271,94,551,0.321
35,"Matthew Motes, Merrimack (NEC)",Jr.,0-0,MB,97,205,71,420,0.319
36,"Cole Campisano, Lincoln Memorial (DI Independent)",Jr.,6-3,OH,82,248,84,515,0.318
37,"Xander Thesz, Merrimack (NEC)",Sr.,0-0,MB,99,205,67,434,0.318
38,"Ras Jesse Delancy, Benedict (SIAC)",So.,6-6,OH,69,371,113,812,0.318
39,"Jaelin Gray, Alderson Broaddus (DI Independent)",Jr.,6-1,MB,92,199,58,445,0.317
40,"Michal Kowal, Penn St. (EIVA)",Jr.,6-2,OH,96,238,69,536,0.315
41,"Kacper Rybarczyk, Erskine (Conference Carolinas)",Jr.,6-4,OH,76,247,82,526,0.314
42,"Jacob Pasteur, Ohio St. (MIVA)",Jr.,6-4,OH,119,464,172,933,0.313
43,"Sebastian Heer, Lees-McRae (Conference Carolinas)",So.,6-3,MB,95,203,75,412,0.311
44,"Miks Ramanis, BYU (MPSF)",So.,6-4,OH,96,313,103,681,0.308
45,"Cole Schlothauer, Loyola Chicago (MIVA)",Sr.,6-5,OH,90,306,106,654,0.306
46,"Christian Janke, Grand Canyon (MPSF)",Sr.,6-5,OH,105,293,112,593,0.305
47,"Kaelen Ingram, Edward Waters (SIAC)",So.,6-6,OH,59,215,72,471,0.304
48,"Chaz Galloway, Hawaii (Big West)",Jr.,6-3,OH,90,224,75,492,0.303
49,"Jamal Ellis Carballo, FDU (NEC)",Fr.,6-6,OPP,66,282,105,585,0.303
50,"Francesco Sani, UC Irvine (Big West)",Jr.,6-8,OH,108,421,146,915,0.301
51,"Hilir Henno, UC Irvine (Big West)",So.,6-8,OH,99,343,129,723,0.296
52,"Clarke Godbold, Long Beach St. (Big West)",Jr.,6-5,OH,89,252,82,579,0.294
53,"Diego Rosich, North Greenville (Conference Carolinas)",Jr.,6-5,OH,102,291,95,674,0.291
54,"Ben Harrington, Princeton (EIVA)",Jr.,6-4,,95,334,136,684,0.289
55,"Taviian Martin, Fort Valley St. (SIAC)",Fr.,6-9,MB,79,166,54,387,0.289
56,"Thomas Fanic, Barton (Conference Carolinas)",Jr.,6-5,MB,94,174,63,384,0.289
57,"Caden Satterfield, LIU (NEC)",Sr.,6-3,OH,83,197,63,468,0.286
58,"Andrew Nielsen, Alderson Broaddus (DI Independent)",Jr.,6-7,MB,92,177,70,375,0.285
59,"Will Rottman, Stanford (MPSF)",Sr.,6-6,OH,88,323,108,755,0.285
60,"Omar Hoyos, George Mason (EIVA)",Jr.,6-6,OH,90,322,114,732,0.284
61,"Garret Schnitker, Charleston (WV) (EIVA)",Sr.,6-6,RS,80,236,90,515,0.283
62,"Blake Liprando, Saint Francis (NEC)",Sr.,6-3,OH,91,256,92,589,0.278
63,"Kevin Kobrine, Southern California (MPSF)",Sr.,6-5,OH,99,246,78,605,0.278
64,"Nate Meyer, Missouri S&T (DI Independent)",Fr.,6-3,OH,71,278,118,577,0.277
65,"Warren Davis, King (TN) (Conference Carolinas)",Jr.,6-0,OH,124,469,188,"1,016",0.277
66,"Lachlan Bray, Charleston (WV) (EIVA)",Sr.,6-5,OH,85,238,100,503,0.274
67,"Bryan Pepen, Edward Waters (SIAC)",Fr.,6-1,OH,49,183,75,395,0.273
67,"Justin Sharfenaker, Lincoln Memorial (DI Independent)",Jr.,6-6,RS,62,171,63,395,0.273
69,"Christian Prayer, Lewis (MIVA)",Jr.,6-4,OPP,86,278,135,524,0.273
70,"Andrew Deardorff, Saint Francis (NEC)",So.,6-5,OH,75,223,81,523,0.272
71,"Mark Berry, Sacred Heart (NEC)",Jr.,6-4,OH,87,274,115,586,0.271
72,"Dillon Klein, Southern California (MPSF)",Fr.,6-4,OH,99,356,146,775,0.271
73,"Raje Alleyne, Quincy (MIVA)",So.,6-6,OH,93,393,169,832,0.269
74,"Jon Diedrich, Purdue Fort Wayne (MIVA)",Sr.,6-6,OPP,104,389,144,915,0.268
75,"Luke Benson, BYU (MPSF)",So.,6-7,OH,71,212,85,476,0.267
76,"Camden Gianni, Grand Canyon (MPSF)",Jr.,6-5,OH,84,248,97,566,0.267
77,"Isaiah Fedd, Fort Valley St. (SIAC)",Fr.,6-3,OH,99,340,149,725,0.263
78,"Sotiris Siapanis, Long Beach St. (Big West)",So.,6-3,OH,89,285,113,655,0.263
79,"Dyer Ball, Ball St. (MIVA)",Jr.,6-6,OH,74,154,65,339,0.263
80,"Max Roquet, Lewis (MIVA)",So.,6-8,OH,91,304,119,709,0.261
81,"Joe Deluzio, Pepperdine (MPSF)",So.,6-6,OH,102,202,80,468,0.261
82,"Nyherowo Omene, Princeton (EIVA)",So.,6-7,,96,223,98,480,0.260
83,"Josh Schellinger, UC San Diego (Big West)",Fr.,6-5,OH,78,202,92,423,0.260
84,"Luke Chandler, LIU (NEC)",So.,6-5,OPP,99,302,129,673,0.257
85,"Livan Moreno, LIU (NEC)",Sr.,6-3,OH,107,313,119,757,0.256
86,"Patrick Rogers, St. Francis Brooklyn (NEC)",Fr.,6-6,OH,80,315,127,734,0.256
87,"Bartek Zielinski, St. Francis Brooklyn (NEC)",Sr.,6-4,OH,67,205,92,444,0.255
88,"Kyle Hobus, CSUN (Big West)",Jr.,6-8,OH,95,341,138,798,0.254
89,"Griffin Walters, CSUN (Big West)",Jr.,6-6,OH,95,265,107,625,0.253
90,"Theo Snoey, Stanford (MPSF)",Fr.,6-8,OH,101,270,118,603,0.252
91,"Cole Brillhart, Lewis (MIVA)",Sr.,6-2,OH,82,122,50,286,0.252
92,"Ryan Wilcox, UC Santa Barbara (Big West)",Sr.,6-2,OH,98,312,122,761,0.250
93,"Liam French, George Mason (EIVA)",Fr.,6-2,OH,94,291,124,675,0.247
94,"Edgerrin Austin, Erskine (Conference Carolinas)",Jr.,5-11,OH,87,289,130,644,0.247
95,"Matteo Miselli, Belmont Abbey (Conference Carolinas)",Sr.,6-2,OH,108,435,197,973,0.245
96,"Alessandro Negri, NJIT (EIVA)",So.,6-4,OH,84,263,114,616,0.242
97,"Mark Autry, North Greenville (Conference Carolinas)",Jr.,6-7,OPP,87,201,69,549,0.240
98,"Ian Schuller, Lindenwood (MIVA)",Fr.,0-0,OPP,84,259,118,589,0.239
99,"Uriel Batista, CUI (MPSF)",Sr.,6-4,OPP,90,353,149,853,0.239
100,"Kupono Browne, BYU (MPSF)",Jr.,6-5,OH,93,204,94,460,0.239
